Set,ATname,com_name,com_names,protein_sequence,gene_family,gene_fam_size,expression_level,GO_functions
74,AT1G80810,AT1G80810,at1g80810,,,,,
75,AT3G13460,ect2,ect2,,,,,
76,AT3G21100,AT3G21100,at3g21100,,,,,
77,AT3G26500,pirl2,pirl2,,,,,
78,AT4G01330,AT4G01330,at4g01330,,,,,
80,AT3G61270,AT3G61270,at3g61270,,,,,
81,AT3G61580,atsld1,"atsld1,sld1",,,,,
84,AT4G31900,chr7,"chr7,pkr2",,,,,
86,AT1G70140,atfh8,"atfh8,fh8",,,,,
88,AT1G70730,pgm2,pgm2,,,,,
89,AT1G70940,atpin3,"atpin3,pin3",,,,,
94,AT4G32000,AT4G32000,at4g32000,,,,,
97,AT5G06560,AT5G06560,at5g06560,,,,,
100,AT5G61460,atrad18,"atrad18,mim,smc6b",,,,,
103,AT1G76510,AT1G76510,at1g76510,,,,,
105,AT2G01980,atnhx7,"atnhx7,atsos1,sos1",,,,,
106,AT1G58370,atxyn1,"atxyn1,rxf12",,,,,
107,AT4G32850,npap,"npap,pap(iv),paps4",,,,,
110,AT5G61250,atgus1,"atgus1,gus1",,,,,
112,AT5G20960,aao1,"aao1,ao1,aoalpha,atao,atao1,at-ao1",,,,,
114,AT1G57590,AT1G57590,at1g57590,,,,,
115,AT1G62380,aco2,"aco2,ataco2",,,,,
118,AT1G68540,ccrl6,"ccrl6,tkpr2",,,,,
120,AT1G70280,AT1G70280,at1g70280,,,,,
121,AT1G70550,AT1G70550,at1g70550,,,,,
122,AT4G14760,net1b,net1b,,,,,
123,AT5G44820,AT5G44820,at5g44820,,,,,
125,AT5G46540,abcb7,"abcb7,pgp7",,,,,
133,AT1G74160,trm4,trm4,,,,,
134,AT1G75400,AT1G75400,at1g75400,,,,,
140,AT3G59850,AT3G59850,at3g59850,,,,,
141,AT3G60130,bglu16,bglu16,,,,,
701,AT1G04540,AT1G04540,at1g04540,,,,,
702,AT1G14280,pks2,pks2,,,,,
703,AT1G18620,trm3,trm3,,,,,
704,AT1G48430,AT1G48430,at1g48430,,,,,
705,AT1G54160,nfya5,"nfya5,nf-ya5",,,,,
706,AT2G29670,AT2G29670,at2g29670,,,,,
707,AT2G33350,AT2G33350,at2g33350,,,,,
708,AT2G36220,AT2G36220,at2g36220,,,,,
709,AT2G40000,athspro2,"athspro2,hspro2",,,,,
710,AT3G03920,AT3G03920,at3g03920,,,,,
711,AT3G10500,anac053,"anac053,nac053,ntl4",,,,,
712,AT3G15940,AT3G15940,at3g15940,,,,,
713,AT3G22170,cpd45,"cpd45,fhy3",,,,,
714,AT3G22840,elip,"elip,elip1",,,,,
715,AT4G37900,AT4G37900,at4g37900,,,,,
716,AT3G58670,AT3G58670,at3g58670,,,,,
717,AT1G54200,AT1G54200,at1g54200,,,,,
718,AT1G15280,AT1G15280,at1g15280,,,,,
719,AT3G14050,atrsh2,"atrsh2,at-rsh2,rsh2",,,,,
720,AT5G15980,AT5G15980,at5g15980,,,,,
721,AT1G77630,lym3,"lym3,lyp3",,,,,
722,AT4G01990,AT4G01990,at4g01990,,,,,
723,AT4G19660,atnpr4,"atnpr4,npr4",,,,,
724,AT3G07650,bbx7,"bbx7,col9",,,,,
725,AT1G75410,blh3,blh3,,,,,
726,AT2G41790,AT2G41790,at2g41790,,,,,
728,AT4G20170,gals3,gals3,,,,,
729,AT1G07150,mapkkk13,mapkkk13,,,,,
730,AT1G77660,AT1G77660,at1g77660,,,,,
731,AT5G48560,AT5G48560,at5g48560,,,,,
732,AT5G05410,dreb2,"dreb2,dreb2a",,,,,
733,AT5G16820,athsf3,"athsf3,athsfa1b,hsf3,hsfa1b",,,,,
734,AT3G19380,pub25,pub25,,,,,
735,AT5G49180,AT5G49180,at5g49180,,,,,
736,AT2G37520,AT2G37520,at2g37520,,,,,
737,AT2G34720,nf-ya4,nf-ya4,,,,,
738,AT4G09900,atmes12,"atmes12,mes12",,,,,
739,AT4G26890,mapkkk16,mapkkk16,,,,,
740,AT1G76620,AT1G76620,at1g76620,,,,,
741,AT3G16180,nrt1.12,nrt1.12,,,,,
742,AT5G17540,AT5G17540,at5g17540,,,,,
743,AT4G13000,AT4G13000,at4g13000,,,,,
744,AT1G52410,attsa1,"attsa1,tsa1",,,,,
745,AT1G13280,aoc4,aoc4,,,,,
750,AT3G13160,AT3G13160,at3g13160,,,,,
753,AT3G47833,sdh7,"sdh7,sdh7a",,,,,
754,AT5G07580,AT5G07580,at5g07580,,,,,
755,AT2G42300,AT2G42300,at2g42300,,,,,
756,AT5G40540,AT5G40540,at5g40540,,,,,
757,AT1G80180,AT1G80180,at1g80180,,,,,
758,AT1G14240,AT1G14240,at1g14240,,,,,
759,AT1G79400,atchx2,"atchx2,chx2",,,,,
761,AT1G72760,AT1G72760,at1g72760,,,,,
763,AT4G39610,AT4G39610,at4g39610,,,,,
764,AT2G33240,atxid,"atxid,xid",,,,,
765,AT4G33970,AT4G33970,at4g33970,,,,,
766,AT3G14210,esm1,esm1,,,,,
767,AT4G25840,gpp1,gpp1,,,,,
768,AT1G69430,AT1G69430,at1g69430,,,,,
769,AT1G03290,AT1G03290,at1g03290,,,,,
770,AT1G76260,dwa2,dwa2,,,,,
771,AT1G76970,AT1G76970,at1g76970,,,,,
772,AT2G24440,AT2G24440,at2g24440,,,,,
773,AT2G28680,AT2G28680,at2g28680,,,,,
774,AT5G27210,cand8,cand8,,,,,
775,AT3G02830,pnt1,"pnt1,zfn1",,,,,
776,AT4G28770,AT4G28770,at4g28770,,,,,
777,AT3G21160,mania,"mania,mns2",,,,,
778,AT1G16780,atvhp2,"atvhp2;2,vhp2;2",,,,,
779,AT5G61570,AT5G61570,at5g61570,,,,,
780,AT3G02980,mcc1,mcc1,,,,,
781,AT1G49720,abf1,"abf1,atabf1",,,,,
782,AT1G11170,AT1G11170,at1g11170,,,,,
783,AT5G48360,AT5G48360,at5g48360,,,,,
784,AT1G15670,kfb01,"kfb01,kmd2",,,,,
785,AT1G68170,umamit23,umamit23,,,,,
786,AT1G70480,AT1G70480,at1g70480,,,,,
787,AT4G03010,AT4G03010,at4g03010,,,,,
788,AT1G18710,atmyb47,"atmyb47,myb47",,,,,
789,AT1G60190,atpub19,"atpub19,pub19",,,,,
790,AT2G32510,mapkkk17,mapkkk17,,,,,
791,AT2G29990,nda2,nda2,,,,,
792,AT1G17520,AT1G17520,at1g17520,,,,,
