,Set,MA,MB,ma,mb,ma2,mb2,mutant_name,protein_similarity,gene_family,gene_fam_size,expression_A,expression_B,expression_ratio,GO_A,GO_B,GO_AB
156,797,AT2G02780,AT1G14390,AT2G02780,AT1G14390,at2g02780,at1g14390,AT2G02780/AT1G14390,,,,,,,,,
157,798,AT3G21175,AT1G51600,gata24,gata28,"gata24,tify2b,zml1","gata28,tify2a,zml2",gata24/28,,,,,,,,,
158,799,AT1G32530,AT2G35330,AT1G32530,AT2G35330,at1g32530,at2g35330,AT1G32530/AT2G35330,,,,,,,,,
159,800,AT1G68670,AT1G25550,AT1G68670,AT1G25550,at1g68670,at1g25550,AT1G68670/AT1G25550,,,,,,,,,
160,801,AT2G43010,AT3G59060,atpif4,pif5,"atpif4,pif4,srl2","pif5,pil6",pif4/5,,,,,,,,,
161,802,AT1G77310,AT1G21610,AT1G77310,AT1G21610,at1g77310,at1g21610,AT1G77310/AT1G21610,,,,,,,,,
162,803,AT5G41180,AT1G63430,AT5G41180,AT1G63430,at5g41180,at1g63430,AT5G41180/AT1G63430,,,,,,,,,
163,804,AT1G70510,AT1G23380,atk1,knat6,"atk1,knat2","knat6,knat6l,knat6s",knat2/6,,,,,,,,,
164,805,AT1G26790,AT1G69570,AT1G26790,AT1G69570,at1g26790,at1g69570,AT1G26790/AT1G69570,,,,,,,,,
165,806,AT1G79700,AT1G16060,wri4,adap,wri4,"adap,wri3",wri4/3,,,,,,,,,
166,807,AT5G39430,AT3G29180,AT5G39430,AT3G29180,AT5G39430,at3g29180,AT5G39430 /AT3G29180,,,,,,,,,
167,808,AT3G58700,AT2G42740,AT3G58700,rpl16a,at3g58700,rpl16a,AT3G58700/rpl16a,,,,,,,,,
168,809,AT1G04410,AT5G43330,c-nad-mdh1,c-nad-mdh2,c-nad-mdh1,c-nad-mdh2,c-nad-mdh1/2,,,,,,,,,
169,810,AT1G77000,AT1G21410,atskp2,2,skp2a,"atskp2;2,skp2b",skp2a/b,,,,,,,,,
170,811,AT4G17980,AT5G46590,anac071,anac096,"anac071,nac071","anac096,nac096",nac071/096,,,,,,,,,
171,812,AT1G66180,AT5G37540,AT1G66180,AT5G37540,at1g66180,at5g37540,AT1G66180/AT5G37540,,,,,,,,,
172,813,AT3G19280,AT1G49710,atfut11,atfut12,"atfut11,fuct1,fucta,fut11","atfut12,fuct2,fuctb,fut12",fut11/12,,,,,,,,,
173,814,AT1G12640,AT1G63050,atlplat1,atlplat2,"atlplat1,lpcat1,lplat1","atlplat2,lpcat2,lplat2",lplat1/2,,,,,,,,,
174,815,AT1G15330,AT1G80090,AT1G15330,cbsx4,at1g15330,cbsx4,AT1G15330/cbsx4,,,,,,,,,
175,816,AT1G51710,AT3G21280,atubp6,ubp7,"atubp6,ubp6",ubp7,ubp6/7,,,,,,,,,
176,819,AT4G31920,AT2G25180,arr10,arr12,"arr10,rr10","arr12,rr12",rr11/12,,,,,,,,,
177,820,AT2G31650,AT1G05830,atx1,atx2,"atx1,sdg27","atx2,sdg30",atx1/2,,,,,,,,,
178,821,AT1G50280,AT3G19850,AT1G50280,AT3G19850,at1g50280,at3g19850,AT1G50280/AT3G19850,,,,,,,,,
179,823,AT1G51880,AT3G21340,rhs6,AT3G21340,rhs6,at3g21340,rhs6/AT3G21340,,,,,,,,,
180,825,AT2G47800,AT3G62700,abcc4,abcc14,"abcc4,atmrp4,est3,mrp4","abcc14,atmrp10,mrp10",mrp4/10,,,,,,,,,
181,826,AT2G02810,AT2G02810,atutr1,atutr1,"atutr1,utr1","atutr1,utr1",utr1/utr1,,,,,,,,,
182,827,AT1G74160,AT1G18620,trm4,trm3,trm4,trm3,trm4/3,,,,,,,,,
183,828,AT1G76300,AT1G20580,smd3,AT1G20580,smd3,at1g20580,smd3/AT1G20580,,,,,,,,,
184,829,AT1G76850,AT1G21170,sec5a,sec5b,sec5a,sec5b,sec5a/b,,,,,,,,,
185,830,AT1G21190,AT1G76860,lsm3a,lsm3b,lsm3a,lsm3b,lsm3a/b,,,,,,,,,
186,836,AT4G24330,AT5G49945,AT4G24330,AT5G49945,at4g24330,at5g49945,AT4G24330/AT5G49945,,,,,,,,,
187,839,AT1G04300,AT5G43560,AT1G04300,AT5G43560,at1g04300,at5g43560,AT1G04300/AT5G43560,,,,,,,,,
188,841,AT1G17890,AT1G73250,ger2,atfx,ger2,"atfx,ger1",ger2/1,,,,,,,,,
189,845,AT1G06040,AT2G31380,bbx24,bbx25,"bbx24,sto","bbx25,sth",bbx24/25,,,,,,,,,
190,848,AT3G49670,AT5G65700,bam2,bam1,bam2,bam1,bam2/1,,,,,,,,,
191,849,AT5G66140,AT3G51260,pad2,pad1,pad2,pad1,pad2/1,,,,,,,,,
192,850,AT3G05750,AT5G26910,trm6,trm8,trm6,trm8,trm6/8,,,,,,,,,
193,851,AT2G03340,AT1G13960,wrky3,wrky4,wrky3,wrky4,wrky3/4,,,,,,,,,
194,852,AT3G15690,AT1G52670,AT3G15690,AT1G52670,at3g15690,at1g52670,AT3G15690/AT1G52670,,,,,,,,,
195,855,AT5G55120,AT4G26850,vtc5,vtc2,vtc5,vtc2,vtc5/2,,,,,,,,,
196,856,AT5G61760,AT5G07370,atipk2beta,atipk2a,"atipk2beta,ipk2b,ipk2beta","atipk2a,impk,ipk2a",ipk2b/a,,,,,,,,,
197,857,AT2G24500,AT4G31420,fzf,reil1,"fzf,reil2",reil1,reil2/1,,,,,,,,,
198,858,AT5G57290,AT4G25890,AT5G57290,AT4G25890,at5g57290,at4g25890,AT5G57290/AT4G25890,,,,,,,,,
199,2222,AT1G48620,AT3G18035,hon5,hon4,hon5,hon4,hon5/4,,,,,,,,,
